group;year;week;value
Total;2021;0;0
Total;2021;1;7706
Total;2021;2;17097
Total;2021;3;28635
Total;2021;4;38947
Total;2021;5;46661
Total;2021;6;51852
Total;2021;7;55580
Total;2021;8;57775
Total;2021;9;58888
Total;2021;10;60028
Total;2021;11;61244
Total;2021;12;62477
Total;2021;13;64700
Total;2021;14;66661
Total;2021;15;68753
Total;2021;16;71163
Total;2021;17;73097
Total;2021;18;75595
Total;2021;19;76135
Total;2021;20;76404
Total;2021;21;76658
Total;2021;22;76638
Total;2021;23;76915
Total;2021;24;77692
Total;2021;25;77790
Total;2021;26;78871
Total;2021;27;79469
Total;2021;28;80301
Total;2021;29;82972
Total;2021;30;85112
Total;2021;31;88891
Total;2021;32;93091
Total;2021;33;96585
Total;2021;34;99174
Total;2021;35;101684
Total;2021;36;104339
Total;2021;37;105524
Total;2021;38;106253
Total;2021;39;107231
Total;2021;40;107999
Total;2021;41;109636
Total;2021;42;111234
Total;2021;43;113541
Total;2021;44;115069
Total;2021;45;118183
Total;2021;46;121540
Total;2021;47;125748
Total;2021;48;131318
Total;2021;49;136726
Total;2021;50;141961
Total;2021;51;147757
Total;2021;52;153557
Total;2022;0;0
Total;2022;1;5231
Total;2022;2;11052
Total;2022;3;17530
Total;2022;4;25411
Total;2022;5;33301
Total;2022;6;39115
Total;2022;7;43387
Total;2022;8;45594
Total;2022;9;47498
Total;2022;10;49396
Total;2022;11;51571
Total;2022;12;54207
Total;2022;13;57362
Total;2022;14;60942
Total;2022;15;64217
Total;2022;16;66425
Total;2022;17;68254
Total;2022;18;69851
Total;2022;19;71450
Total;2022;20;73262
Total;2022;21;73490
Total;2022;22;74831
Total;2022;23;75817
Total;2022;24;79043
Total;2022;25;81169
Total;2022;26;83078
Total;2022;27;86837
Total;2022;28;93430
Total;2022;29;100982
Total;2022;30;106538
Total;2022;31;111355
Total;2022;32;115694
Total;2022;33;118176
Total;2022;34;119883
Total;2022;35;120555
Total;2022;36;120825
Total;2022;37;121072
Total;2022;38;121481
Total;2022;39;122799
Total;2022;40;124900
Total;2022;41;126398
Total;2022;42;128239
Total;2022;43;129359
Total;2022;44;129255
Total;2022;45;129962
Total;2022;46;131560
Total;2022;47;133521
Total;2022;48;136566
Total;2022;49;141555
Total;2022;50;147854
Total;2022;51;155905
Total;2022;52;163368
Total;2018;0;0
Total;2018;1;6683
Total;2018;2;12474
Total;2018;3;17699
Total;2018;4;21489
Total;2018;5;25071
Total;2018;6;29011
Total;2018;7;33555
Total;2018;8;38393
Total;2018;9;44783
Total;2018;10;50574
Total;2018;11;54517
Total;2018;12;57294
Total;2018;13;59925
Total;2018;14;61840
Total;2018;15;63341
Total;2018;16;64317
Total;2018;17;63917
Total;2018;18;63231
Total;2018;19;62643
Total;2018;20;62163
Total;2018;21;62246
Total;2018;22;62190
Total;2018;23;61917
Total;2018;24;61264
Total;2018;25;61566
Total;2018;26;62546
Total;2018;27;63613
Total;2018;28;63782
Total;2018;29;64739
Total;2018;30;66139
Total;2018;31;68471
Total;2018;32;70853
Total;2018;33;71018
Total;2018;34;71360
Total;2018;35;70925
Total;2018;36;70780
Total;2018;37;70322
Total;2018;38;70112
Total;2018;39;69472
Total;2018;40;69744
Total;2018;41;70096
Total;2018;42;69579
Total;2018;43;69270
Total;2018;44;69548
Total;2018;45;70081
Total;2018;46;70170
Total;2018;47;70179
Total;2018;48;70189
Total;2018;49;70297
Total;2018;50;70622
Total;2018;51;71682
Total;2018;52;72741
Total;2019;0;0
Total;2019;1;2947
Total;2019;2;7979
Total;2019;3;13164
Total;2019;4;18427
Total;2019;5;23772
Total;2019;6;29091
Total;2019;7;33277
Total;2019;8;37130
Total;2019;9;40458
Total;2019;10;42558
Total;2019;11;43541
Total;2019;12;43807
Total;2019;13;43897
Total;2019;14;44453
Total;2019;15;44165
Total;2019;16;44448
Total;2019;17;44813
Total;2019;18;45023
Total;2019;19;45342
Total;2019;20;45581
Total;2019;21;45872
Total;2019;22;46186
Total;2019;23;46257
Total;2019;24;46311
Total;2019;25;46834
Total;2019;26;48258
Total;2019;27;49883
Total;2019;28;50203
Total;2019;29;50399
Total;2019;30;52509
Total;2019;31;52647
Total;2019;32;52966
Total;2019;33;52511
Total;2019;34;52611
Total;2019;35;53096
Total;2019;36;52415
Total;2019;37;51925
Total;2019;38;51820
Total;2019;39;51327
Total;2019;40;51095
Total;2019;41;50995
Total;2019;42;50757
Total;2019;43;50847
Total;2019;44;50902
Total;2019;45;51184
Total;2019;46;51670
Total;2019;47;52494
Total;2019;48;53521
Total;2019;49;53854
Total;2019;50;54991
Total;2019;51;56211
Total;2019;52;56751
0to14;2021;0;0
0to14;2021;1;-33
0to14;2021;2;-57
0to14;2021;3;-91
0to14;2021;4;-100
0to14;2021;5;-115
0to14;2021;6;-114
0to14;2021;7;-141
0to14;2021;8;-176
0to14;2021;9;-161
0to14;2021;10;-171
0to14;2021;11;-177
